problem,vehicles,total_cost,sota_vehicles,sota_cost,gap
ORTEC-VRPTW-ASYM-53ac3334-d1-n285-k21.txt,15,106674.0,1,1,106673.0
ORTEC-VRPTW-ASYM-5525d5a9-d1-n255-k20.txt,14,101728.0,1,1,101727.0
ORTEC-VRPTW-ASYM-55a26fb1-d1-n326-k25.txt,16,219554.0,1,1,219553.0
ORTEC-VRPTW-ASYM-56c07872-d1-n309-k25.txt,16,167506.0,1,1,167505.0
ORTEC-VRPTW-ASYM-57242a8c-d1-n309-k19.txt,16,137611.0,1,1,137610.0
ORTEC-VRPTW-ASYM-574c9314-d1-n288-k18.txt,15,195247.0,1,1,195246.0
ORTEC-VRPTW-ASYM-5b9c2a77-d1-n284-k20.txt,12,207383.0,1,1,207382.0
ORTEC-VRPTW-ASYM-5c968166-d1-n320-k20.txt,16,147156.0,1,1,147155.0
ORTEC-VRPTW-ASYM-5d8fd227-d1-n211-k15.txt,9,81135.0,1,1,81134.0
ORTEC-VRPTW-ASYM-5e5904f3-d1-n203-k15.txt,13,144228.0,1,1,144227.0
ORTEC-VRPTW-ASYM-5fa16580-d1-n329-k25.txt,18,194759.0,1,1,194758.0
ORTEC-VRPTW-ASYM-60a623ab-d1-n329-k20.txt,19,214581.0,1,1,214580.0
ORTEC-VRPTW-ASYM-617e20d7-d1-n203-k15.txt,12,95588.0,1,1,95587.0
ORTEC-VRPTW-ASYM-6199a008-d1-n220-k20.txt,12,160361.0,1,1,160360.0
ORTEC-VRPTW-ASYM-62980c46-d1-n254-k20.txt,11,111388.0,1,1,111387.0
ORTEC-VRPTW-ASYM-640de60f-d1-n318-k25.txt,18,228089.0,1,1,228088.0
ORTEC-VRPTW-ASYM-64f72f5d-d1-n225-k16.txt,13,152722.0,1,1,152721.0
ORTEC-VRPTW-ASYM-6563cca6-d1-n381-k28.txt,18,127185.0,1,1,127184.0
ORTEC-VRPTW-ASYM-6570ec5a-d1-n283-k20.txt,13,125012.0,1,1,125011.0
ORTEC-VRPTW-ASYM-6650f64e-d1-n586-k32.txt,29,277376.0,1,1,277375.0
ORTEC-VRPTW-ASYM-6656ccd2-d1-n310-k20.txt,17,139185.0,1,1,139184.0
ORTEC-VRPTW-ASYM-68e134ef-d1-n267-k20.txt,15,183622.0,1,1,183621.0
ORTEC-VRPTW-ASYM-6ac64141-d1-n254-k20.txt,16,153383.0,1,1,153382.0
